Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2019,"Todd Frazier","NYM",63,0.03174603,0.26984127,0.11764706,0.23728814,0.28571429,0.3559322,0.64164649,0.11864406,0.3,5.6162443344470505,-2.312816795242166,0.2774672574467129,78.65060468849562,785
2019,"Albert Pujols","LAA",103,0.11650485,0.13592233,0.85714286,0.21590909,0.31067961,0.375,0.68567961,0.15909091,0.21917808,10.816916188713153,-2.146469467762868,0.2958287301572781,86.86165439479437,1177
2019,"Wilson Ramos","NYM",81,0.08641975,0.17283951,0.5,0.28378378,0.34567901,0.43243243,0.77811144,0.14864865,0.31578947,10.16914031845032,-0.02536684829295956,0.3195747565000485,106.22976729805413,1433
2019,"Miguel Cabrera","DET",107,0.10280374,0.1682243,0.61111111,0.35789474,0.42056075,0.42105263,0.84161338,0.06315789,0.43589744,17.514309911636083,4.047491802481382,0.3636974883529375,125.80943345589634,1744
2019,"David Peralta","ARI",105,0.07619048,0.20952381,0.36363636,0.28421053,0.34285714,0.48421053,0.82706767,0.2,0.32857143,15.337240457212843,2.122138574397482,0.343318094427769,109.85435813481234,2136
2019,"Edwin Encarnacion","SEA",113,0.10619469,0.18584071,0.57142857,0.28282828,0.37168142,0.55555556,0.92723698,0.27272728,0.28571429,20.721203887987595,6.499237099814876,0.3864740782079443,151.08943118019394,2151
2019,"Carlos Santana","CLE",123,0.17886179,0.16260163,1.1,0.28,0.41463415,0.51,0.92463415,0.23,0.2972973,22.78832451237827,7.307776592508848,0.38866914993475293,136.6737614489569,2396
2019,"Nelson Cruz","MIN",76,0.09210526,0.28947368,0.31818182,0.29850746,0.36842105,0.53731343,0.90573448,0.23880597,0.39534884,12.978773310220872,3.4135567093259422,0.37189751068751015,131.73571606832712,2434
2019,"Yonder Alonso","CHW",113,0.08849558,0.22123894,0.4,0.19,0.26548673,0.33,0.59548673,0.14,0.20547945,7.380007284489406,-6.8419595036833165,0.24989134449142594,55.274058423720184,2530
2019,"Roberto Perez","CLE",68,0.19117647,0.29411765,0.65,0.20754717,0.36764706,0.32075472,0.68840178,0.11320755,0.28125,8.249638084258578,-0.3087136112789902,0.31468503089512095,86.65216851301547,2900
2019,"Tommy Pham","TBR",124,0.16935484,0.20967742,0.80769231,0.32352941,0.44354839,0.50980392,0.95335231,0.18627451,0.40277778,24.795120059350033,9.188714026310938,0.405663040595326,163.37452169844192,2967
2019,"Mitch Moreland","BOS",75,0.10666667,0.14666667,0.72727273,0.21538462,0.29333333,0.55384615,0.84717948,0.33846153,0.16,10.744083656630336,1.3047251689050792,0.3400621128082275,103.10014192997782,3086
2019,"Robinson Chirinos","HOU",81,0.17283951,0.20987654,0.82352941,0.25396825,0.4125,0.50793651,0.92043651,0.25396826,0.28571429,15.278173448404772,5.083666281661492,0.392542877048254,154.1513480336254,3142
2019,"Shin-Soo Choo","TEX",120,0.1,0.21666667,0.46153846,0.32075472,0.4,0.58490566,0.98490566,0.26415094,0.38666667,24.09673135093453,8.993757770574117,0.4066411036403239,139.04134580995697,3174
2019,"Welington Castillo","CHW",56,0.07142857,0.375,0.19047619,0.14,0.23214286,0.32,0.55214286,0.18,0.18518519,3.2026457270906974,-3.8454086104108285,0.24049802124500275,48.92311449348839,3256
2019,"Robinson Cano","NYM",60,0.11666667,0.15,0.77777778,0.30188679,0.38333333,0.41509434,0.79842767,0.11320755,0.34883721,8.986975585743876,1.4354887955636702,0.3476146241029104,124.59504867442594,3269
2019,"Martin Prado","MIA",65,0.04615385,0.15384615,0.3,0.25806452,0.29230769,0.30645161,0.5987593,0.04838709,0.30769231,4.921826971074903,-3.258950384953653,0.2619349323786222,66.34813667248719,3312
2019,"Ryan Braun","MIL",95,0.07368421,0.18947368,0.38888889,0.31818182,0.36842105,0.57954545,0.9479665,0.26136363,0.34375,17.957181481312084,6.000660730193423,0.3930097121941416,141.37770837171269,3410
2019,"Jeff Mathis","TEX",54,0.07407407,0.25925926,0.28571429,0.16326531,0.22222222,0.26530612,0.48752834,0.10204081,0.2,1.7874867275393704,-5.008851383622815,0.21263108981980217,7.868736568940175,3448
2019,"Anthony Rizzo","CHC",123,0.10569106,0.1300813,0.8125,0.32692308,0.43089431,0.63461538,1.06550969,0.3076923,0.325,28.06002708045733,12.57947916058791,0.43825128772219674,173.6132042838826,3473
2019,"Eric Hosmer","SDP",129,0.07751938,0.18604651,0.41666667,0.27118644,0.33333333,0.40677966,0.74011299,0.13559322,0.31868132,15.753543171893776,-0.4821534269936673,0.3156131566502154,98.25092369597192,3516
2019,"Eric Thames","MIL",79,0.12658228,0.37974684,0.33333333,0.23188406,0.32911392,0.42028986,0.74940378,0.1884058,0.34285714,10.088363548335483,0.1455726079315445,0.3220687795288955,94.91350219384479,3711
2019,"Josh Reddick","HOU",109,0.10091743,0.12844037,0.78571429,0.25263158,0.32407407,0.30526316,0.62933723,0.05263158,0.2804878,9.583645807711948,-4.134888527782094,0.27605198309800333,75.39039022858735,3892
2019,"Melky Cabrera","PIT",72,0.06944444,0.09722222,0.71428571,0.32835821,0.375,0.41791045,0.79291045,0.08955224,0.36666667,10.165712188287278,1.1039280400710303,0.33767435920070593,110.50227772938655,4022
2019,"Dexter Fowler","STL",99,0.1010101,0.23232323,0.43478261,0.27380952,0.38383838,0.45238095,0.83621933,0.17857143,0.34482759,16.01990400969342,3.559950805896079,0.361536564851048,129.3744170513651,4062
2019,"Michael Brantley","HOU",121,0.07438017,0.08264463,0.9,0.35135135,0.40495868,0.58558559,0.99054427,0.23423424,0.34736842,24.781590019680262,9.55275832615018,0.41126903196175896,166.8123367768575,4106
2019,"Howie Kendrick","WSN",70,0.07142857,0.15714286,0.45454545,0.4,0.44285714,0.70769231,1.15054945,0.30769231,0.42857143,18.103007475677934,9.292939553801029,0.47351700408118114,191.9371303093987,4229
2019,"Joey Votto","CIN",119,0.1512605,0.21008403,0.72,0.25252525,0.37815126,0.34343434,0.7215856,0.09090909,0.32876712,15.250246901505495,0.2731314343147528,0.3225922928018085,92.71468160900382,4314
2019,"Daniel Murphy","COL",69,0.10144928,0.11594203,0.875,0.26229508,0.33333333,0.37704918,0.71038251,0.1147541,0.2962963,7.875824398561441,-0.808385410145796,0.3063836322314497,58.26461090948957,4316
2019,"Starlin Castro","MIA",120,0.05833333,0.125,0.46666667,0.21621622,0.25833333,0.30630631,0.56463964,0.09009009,0.22916667,7.153473327125159,-7.949500253235254,0.24330013046662013,54.14289428853457,4579
2019,"Russell Martin","LAD",51,0.09803922,0.23529412,0.41666667,0.28888889,0.37254902,0.33333333,0.70588235,0.04444444,0.39393939,6.291615097570296,-0.12714867408287917,0.31705287858551623,102.04663954834857,4616
2019,"Curtis Granderson","MIA",83,0.09638554,0.26506024,0.36363636,0.16901408,0.26506024,0.36619718,0.63125742,0.1971831,0.17021277,6.828772830632437,-3.6174505624501823,0.2695169190326369,71.31411298396823,4747
2019,"Jarrod Dyson","ARI",79,0.10126582,0.24050633,0.42105263,0.2,0.29113924,0.25714286,0.5482821,0.05714286,0.26,5.238691620661326,-4.704099319742612,0.25105138594591164,49.4224015028903,4866
2019,"Mike Moustakas","MIL",108,0.09259259,0.2037037,0.45454545,0.26530612,0.33333333,0.56122449,0.89455782,0.29591837,0.27536232,18.10964973386525,4.51697351154088,0.36832121511300403,125.20747525661235,4892
2019,"Ender Inciarte","ATL",60,0.08333333,0.21666667,0.38461538,0.25925926,0.33333333,0.42592593,0.75925926,0.16666667,0.30769231,7.836738812069212,0.28525202188900656,0.32543697754542034,96.97756018200462,4922
2019,"Jason Heyward","CHC",108,0.16666667,0.14814815,1.125,0.21590909,0.35185185,0.42045455,0.7723064,0.20454546,0.2173913,13.855342830402098,0.2626666080777247,0.32275063878013976,97.96370596892191,4940
2019,"Asdrubal Cabrera","TEX",112,0.11607143,0.20535714,0.56521739,0.25,0.33928571,0.57291667,0.91220238,0.32291667,0.22727273,19.064967694325702,4.9688590193226485,0.3712607686008726,115.12025652412494,4962
2019,"Josh Donaldson","ATL",110,0.2,0.28181818,0.70967742,0.24137931,0.4,0.45977011,0.85977011,0.2183908,0.32692308,18.757263085379062,4.912870636715349,0.37160510420799253,127.21631340249321,5038
2019,"Alex Gordon","KCR",113,0.09734513,0.12389381,0.78571429,0.29473684,0.38938053,0.50526316,0.89464369,0.21052632,0.30379747,19.79016579862312,5.5681990104504,0.3769424199003034,133.18191515589163,5209
2019,"Justin Turner","LAD",103,0.06796117,0.16504854,0.41176471,0.31111111,0.38834951,0.52222222,0.91057173,0.21111111,0.33333333,18.63522208350434,5.671836427028315,0.3836409374348168,145.65984252042665,5235
2019,"Robbie Grossman","OAK",102,0.08823529,0.2254902,0.39130435,0.1827957,0.25490196,0.2688172,0.52371916,0.0860215,0.23188406,5.202706639624883,-7.634820903681468,0.23334497622415132,46.69366870574897,5254
2019,"Francisco Cervelli","PIT",55,0.12727273,0.18181818,0.7,0.23913043,0.35185185,0.2826087,0.63446055,0.04347827,0.30555556,5.63191607101256,-1.2902801533192962,0.2927976162345321,81.10934251649776,5275
2019,"Brandon Crawford","SFG",99,0.1010101,0.26262626,0.38461538,0.17045455,0.26262626,0.23863636,0.50126262,0.06818181,0.21666667,4.393037628751953,-8.066915575045387,0.22567176697205524,41.96842683740357,5343
2019,"Freddie Freeman","ATL",135,0.13333333,0.18518519,0.72,0.26956522,0.37777778,0.56521739,0.94299517,0.29565217,0.27160494,25.105938497785587,8.115093219880125,0.3894777738336307,138.92238175027236,5361
2019,"Pablo Sandoval","SFG",59,0.05084746,0.30508475,0.16666667,0.26785714,0.30508475,0.51785714,0.82294189,0.25,0.36111111,8.424040946065395,0.9984122690548576,0.3395136544259928,116.53148559077043,5409
2019,"Jose Altuve","HOU",77,0.14285714,0.11688312,1.22222222,0.25,0.36363636,0.5,0.86363636,0.25,0.21568627,12.533017685382294,2.8419429713176942,0.362634712225431,133.93006182182515,5417
