Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2019,"Todd Frazier","NYM",71,262,235,60,41,9,0,10,32,36,19,1,53,8,0,0,3,1,2,0.25531915,785
2019,"Albert Pujols","LAA",65,268,242,59,37,13,0,9,30,47,22,0,32,1,3,0,7,1,0,0.24380165,1177
2019,"Wilson Ramos","NYM",73,258,234,68,51,9,0,8,28,34,20,3,33,2,2,0,8,1,0,0.29059829,1433
2019,"Miguel Cabrera","DET",67,271,241,76,57,14,0,5,24,34,25,3,48,2,3,0,8,0,0,0.3153527,1744
2019,"David Peralta","ARI",49,212,189,52,32,12,2,6,24,33,20,1,38,2,1,0,4,0,0,0.27513228,2136
2019,"Edwin Encarnacion","2 Tms",54,230,198,53,28,8,0,17,38,45,27,1,42,5,0,0,3,0,0,0.26767677,2151
2019,"Carlos Santana","CLE",81,343,285,78,45,14,0,19,60,46,54,6,49,2,2,0,8,1,0,0.27368421,2396
2019,"Nelson Cruz","MIN",67,289,250,76,36,19,0,21,48,58,33,4,75,3,2,0,7,0,0,0.304,2434
2019,"Yonder Alonso","2 Tms",57,157,138,24,17,3,0,4,13,16,16,3,34,1,2,0,3,0,1,0.17391304,2530
2019,"Roberto Perez","CLE",59,218,184,42,28,2,0,12,21,37,25,0,65,4,3,2,6,0,0,0.22826087,2900
2019,"Tommy Pham","TBR",75,331,284,77,50,15,1,11,36,33,45,3,68,2,0,0,13,14,3,0.27112676,2967
2019,"Mitch Moreland","BOS",43,156,137,34,17,8,1,8,22,29,16,0,28,1,2,0,7,0,0,0.24817518,3086
2019,"Robinson Chirinos","HOU",56,213,176,48,24,13,1,10,30,39,27,0,57,7,2,1,5,0,1,0.27272727,3142
2019,"Shin-Soo Choo","TEX",72,328,282,81,47,20,2,12,51,31,38,2,77,8,0,0,3,9,1,0.28723404,3174
2019,"Welington Castillo","CHW",35,121,108,18,9,4,0,5,8,21,10,0,41,2,1,0,3,0,0,0.16666667,3256
2019,"Robinson Cano","NYM",46,173,153,44,32,6,0,6,19,16,16,2,23,2,2,0,8,0,0,0.2875817,3269
2019,"Martin Prado","MIA",53,127,120,29,24,5,0,0,13,7,6,0,21,0,1,0,5,0,0,0.24166667,3312
2019,"Matt Joyce","ATL",66,116,97,30,22,4,0,4,16,15,19,0,22,0,0,0,1,0,0,0.30927835,3353
2019,"Ryan Braun","MIL",74,259,235,72,42,20,1,9,36,39,16,1,49,4,1,0,6,8,1,0.30638298,3410
2019,"Jeff Mathis","TEX",38,125,114,21,16,4,0,1,8,7,10,0,40,0,1,0,1,1,0,0.18421053,3448
2019,"Anthony Rizzo","CHC",75,305,254,90,62,14,1,13,53,56,37,2,46,13,1,0,7,4,1,0.35433071,3473
2019,"Eric Hosmer","SDP",80,319,300,80,56,12,1,11,35,44,17,2,82,2,0,0,8,0,1,0.26666667,3516
2019,"Eric Thames","MIL",75,229,197,54,27,11,2,14,35,36,28,1,75,3,1,0,0,1,1,0.27411168,3711
2019,"Josh Reddick","HOU",71,284,253,65,48,9,2,6,29,26,22,1,39,0,5,1,1,2,1,0.256917,3892
2019,"Melky Cabrera","PIT",66,191,179,50,37,10,0,3,18,26,12,2,17,0,0,0,7,0,0,0.27932961,4022
2019,"Dexter Fowler","STL",74,283,242,60,38,13,0,9,35,38,35,0,67,5,1,0,0,3,2,0.24793388,4062
2019,"Michael Brantley","HOU",72,309,279,87,57,17,1,12,53,41,25,1,32,4,1,0,13,0,0,0.31182796,4106
2019,"Howie Kendrick","WSN",62,179,163,61,38,13,0,10,31,24,15,1,26,1,0,0,4,1,1,0.37423313,4229
2019,"Joey Votto","CIN",71,301,253,67,46,17,0,4,43,18,46,1,65,2,0,0,8,3,0,0.26482213,4314
2019,"Daniel Murphy","COL",67,249,227,72,47,21,1,3,27,46,16,1,25,2,4,0,6,1,1,0.31718062,4316
2019,"Starlin Castro","MIA",81,337,318,81,53,13,4,11,34,48,13,0,60,0,6,0,11,2,2,0.25471698,4579
2019,"Russell Martin","LAD",43,124,106,26,21,3,0,2,14,13,16,1,30,2,0,0,0,0,0,0.24528302,4616
2019,"Curtis Granderson","MIA",68,184,158,27,13,5,1,8,23,23,22,0,44,2,2,0,1,0,2,0.17088608,4747
2019,"Brian McCann","ATL",40,148,123,33,23,3,0,7,14,28,19,1,22,2,4,0,4,0,0,0.26829268,4810
2019,"Jarrod Dyson","ARI",66,227,205,44,38,5,0,1,35,14,20,0,50,1,1,0,0,17,2,0.21463415,4866
2019,"Mike Moustakas","MIL",69,281,255,59,28,17,0,14,35,34,25,2,54,1,0,0,5,1,0,0.23137255,4892
