"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","WPA/LI","Clutch","O-Swing%","Contact%","SwStr%","Soft%","Med%","Hard%","FRM","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","WPA","maxEV","HardHit","HardHit%","playerid"
"Christian Yelich","Brewers","130","580","44","100","97","30","13.8%","20.3%",".342",".355",".329",".429",".671",".442","174","93.3","8.5","65.2","-3.9","7.8","7.02","0.49","30.6%","73.8%","11.8%","14.4%","34.8%","50.8%","","86","79","130","93.3","11.3","59","15.8%","7.34","117.9","182","48.7%","11477"
"Mike Trout","Angels","134","600","45","110","104","11","18.3%","20.0%",".353",".298",".291",".438",".645",".436","180","90.9","7.1","68.2","-0.3","8.6","6.55","-1.17","20.5%","82.3%","6.5%","13.0%","43.2%","43.8%","","78","95","116","90.9","22.2","62","17.5%","5.17","116.6","155","43.8%","10155"
"Alex Bregman","Astros","156","690","41","122","112","5","17.2%","12.0%",".296",".281",".296",".423",".592",".418","168","89.3","-2.1","58.2","4.8","8.5","5.92","-1.11","18.8%","87.0%","4.6%","14.8%","40.3%","44.9%","","89","89","118","89.3","19.6","22","4.6%","4.32","107.4","178","37.2%","17678"
"Nelson Cruz","Twins","120","521","41","81","108","0","10.7%","25.1%",".328",".351",".311",".392",".639",".417","163","93.7","-4.5","37.7","-12.3","4.3","3.79","-0.39","30.5%","69.7%","14.0%","12.0%","35.6%","52.5%","","72","78","138","93.7","13.1","61","18.7%","3.22","117.0","168","51.4%","2434"
"Cody Bellinger","Dodgers","156","660","47","121","115","15","14.4%","16.4%",".324",".302",".305",".406",".629",".415","162","91.1","1.4","55.2","3.4","7.8","6.31","-0.73","26.8%","78.1%","9.7%","13.2%","37.6%","49.2%","","78","85","126","91.1","17.9","57","12.6%","5.41","110.6","207","45.6%","15998"
"Anthony Rendon","Nationals","146","646","34","117","126","5","12.4%","13.3%",".279",".323",".319",".412",".598",".413","154","90.4","0.4","46.5","4.2","7.0","4.61","0.53","23.8%","88.3%","5.1%","16.9%","38.5%","44.7%","","100","87","115","90.4","19.6","51","10.9%","4.95","107.7","218","46.6%","12861"
"Ketel Marte","Diamondbacks","144","628","32","97","92","10","8.4%","13.7%",".264",".342",".329",".389",".592",".405","150","90.0","4.2","46.0","6.7","7.1","4.13","-0.61","31.8%","83.6%","7.8%","15.7%","42.3%","42.1%","","93","96","108","90.0","11.6","44","9.1%","3.31","116.3","194","40.0%","13613"
"George Springer","Astros","122","556","39","96","96","6","12.1%","20.3%",".299",".305",".292",".383",".591",".400","156","89.8","0.9","40.8","6.4","6.5","2.74","-0.57","22.8%","75.0%","11.0%","16.5%","38.4%","45.1%","","99","85","119","89.8","10.4","45","12.2%","2.07","114.3","160","43.2%","12856"
"Juan Soto","Nationals","150","659","34","110","110","12","16.4%","20.0%",".266",".312",".282",".401",".548",".394","142","92.0","-0.5","35.8","-7.5","4.8","4.03","-0.45","23.4%","77.9%","9.0%","12.5%","46.2%","41.3%","","74","104","106","92.0","12.5","47","11.3%","3.57","112.8","199","47.8%","20123"
"Nolan Arenado","Rockies","155","662","41","102","118","3","9.4%","14.0%",".269",".312",".315",".379",".583",".392","128","89.4","2.5","27.0","12.5","5.9","3.29","0.37","37.9%","80.3%","10.1%","16.9%","40.6%","42.5%","","100","92","109","89.4","17.6","34","6.8%","3.66","109.9","189","37.6%","9777"
