Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2020,"Todd Frazier","2 Tms",76,0.06578947,0.19736842,0.33333333,0.21428571,0.27631579,0.31428571,0.5906015,0.1,0.25925926,5.893175046849305,-3.646985251498169,0.2628853234805559,62.979980050655634,785
2020,"Albert Pujols","LAA",77,0.06493506,0.15584416,0.41666667,0.22535211,0.27272727,0.36619718,0.63892445,0.14084507,0.24137931,6.804116059051652,-2.8615726642740773,0.275713769646434,71.69123262321337,1177
2020,"Wilson Ramos","NYM",86,0.04651163,0.18604651,0.25,0.3,0.3372093,0.5,0.8372093,0.2,0.32786885,13.337914870641056,2.542470322511021,0.354802128880523,121.32253250416974,1433
2020,"Miguel Cabrera","DET",123,0.06504065,0.27642276,0.23529412,0.25,0.30081301,0.40178571,0.70259872,0.15178571,0.30666667,13.325390054217566,-2.1146062181079492,0.29938491885779334,87.89413141405127,1744
2020,"David Peralta","ARI",111,0.05405405,0.23423423,0.23076923,0.2815534,0.31531532,0.42718447,0.74249979,0.14563107,0.34210526,13.693876404639868,-0.23977876794657402,0.317201372739431,96.50624155205631,2136
2020,"Edwin Encarnacion","CHW",99,0.08080808,0.32323232,0.25,0.17241379,0.25510204,0.33333333,0.58843537,0.16091954,0.21153846,7.352779069236767,-5.074535003610598,0.2590080219872144,60.256150357848824,2151
2020,"Carlos Santana","CLE",133,0.18045113,0.19548872,0.92307692,0.17431193,0.32330827,0.27522936,0.59853763,0.10091743,0.2,12.486973133434432,-4.2083073886736475,0.2822585948427817,76.17116468368378,2396
2020,"Nelson Cruz","MIN",110,0.11818182,0.25454545,0.46428571,0.30851064,0.40909091,0.65957447,1.06866538,0.35106383,0.33928571,24.948316081424498,11.140189333816313,0.43979773863598154,184.0066896801439,2434
2020,"Tommy Pham","SDP",72,0.11111111,0.19444444,0.57142857,0.26984127,0.36111111,0.44444444,0.80555555,0.17460317,0.30434783,10.97852275179296,1.9404761533585115,0.3517055908838908,119.27883456415096,2967
2020,"Mitch Moreland","2 Tms",70,0.11428571,0.2,0.57142857,0.29032258,0.37142857,0.56451613,0.9359447,0.27419355,0.31818182,12.900760073605731,4.1137703251277955,0.39045501532761945,147.72220372186734,3086
2020,"Shin-Soo Choo","TEX",61,0.08196721,0.2295082,0.35714286,0.27777778,0.36065574,0.59259259,0.95324833,0.31481481,0.28571429,11.772365930403836,4.115132006730205,0.39972040399176173,156.57375893188873,3174
2020,"Robinson Cano","NYM",107,0.08411215,0.14018692,0.6,0.3814433,0.42990654,0.67010309,1.10000963,0.28865979,0.39473684,25.792862336886426,12.36132086421301,0.4566898874516757,188.56788926435394,3269
2020,"Matt Joyce","MIA",80,0.1375,0.35,0.39285714,0.28985507,0.3875,0.4057971,0.7932971,0.11594203,0.46153846,12.287226871426839,2.2449528731663424,0.35302223488688467,120.14781231917388,3353
2020,"Ryan Braun","MIL",81,0.07407407,0.2345679,0.31578947,0.24324324,0.3,0.44594595,0.74594595,0.20270271,0.28846154,10.069626460212044,-0.09817596302670936,0.3183251366019249,97.24791948184247,3410
2020,"Anthony Rizzo","CHC",115,0.09565217,0.15652174,0.61111111,0.25510204,0.35652174,0.51020408,0.86672582,0.25510204,0.24324324,18.694623583477167,4.258854710977698,0.363655875741908,127.16595643171078,3473
2020,"Eric Hosmer","SDP",98,0.05102041,0.20408163,0.25,0.27472527,0.31632653,0.46153846,0.77786499,0.18681319,0.29850746,13.266229084756123,0.9644434368870143,0.3314261223588671,105.89449757415021,3516
2020,"Eric Thames","WSN",73,0.06849315,0.26027397,0.26315789,0.19117647,0.24657534,0.32352941,0.57010475,0.13235294,0.23404255,4.463179111789304,-4.7003959116234,0.24344437652164036,47.82703225566935,3711
2020,"Josh Reddick","HOU",107,0.11214953,0.25233645,0.44444444,0.26315789,0.34579439,0.38947368,0.73526807,0.12631579,0.34848485,13.904874628656078,0.47333315598266235,0.3250049040696331,105.43100821304489,3892
2020,"Michael Brantley","HOU",94,0.09574468,0.17021277,0.5625,0.23529412,0.30851064,0.30588235,0.61439299,0.07058823,0.27941176,8.463290261689155,-3.3363816862669307,0.2776929780523828,73.04600053926261,4106
