Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,645,1,Mar 28,BOS,@,SEA,L4-12,CG,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.600,.600,.600,1.200,2,.60,-0.005,.56,0.00%,0.25,11.00,12.20,RF
2,646,2,Mar 29,BOS,@,SEA,W7-6,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.400,.400,.800,2,.88,0.101,.86,0.06%,0.42,3.00,3.00,RF
3,647,3,Mar 30,BOS,@,SEA,L5-6,CG,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.267,.267,.267,.533,2,.90,-0.069,.88,-0.04%,0.23,2.00,3.20,RF
4,648,4,Mar 31,BOS,@,SEA,L8-10,CG,5,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.263,.300,.421,.721,1,.58,0.023,.54,0.01%,0.41,18.00,24.90,RF
5,649,5,Apr 1,BOS,@,OAK,L0-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.217,.250,.348,.598,1,.47,-0.049,.41,-0.03%,-0.71,0.00,0.00,RF
6,650,6,Apr 2,BOS,@,OAK,L0-1,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.250,.370,.620,1,1.02,-0.069,.82,-0.03%,-0.38,5.00,6.00,RF
7,651,7,Apr 3,BOS,@,OAK,W6-3,CG,5,4,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.226,.273,.387,.660,1,1.98,0.373,1.53,0.17%,1.38,15.00,22.40,RF
8,652,8,Apr 4,BOS,@,OAK,L3-7,CG,5,3,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,.235,.316,.382,.698,1,.88,0.022,.73,0.01%,0.42,9.00,12.20,RF
9,653,9,Apr 5,BOS,@,ARI,L8-15,CG,5,4,2,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,.289,.372,.526,.898,2,.39,0.014,.30,0.01%,3.19,28.00,37.40,CF
10,654,10,Apr 6,BOS,@,ARI,L4-5,CG,5,4,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,.262,.333,.476,.810,2,1.98,-0.191,1.47,-0.09%,-1.82,2.00,3.50,RF
11,655,11,Apr 7,BOS,@,ARI,W1-0,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.262,.333,.476,.810,9,,,,,,0.00,0.00,RF
12,656,12,Apr 9,BOS,,TOR,L5-7,CG,5,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.255,.321,.511,.831,2,1.57,-0.080,1.25,-0.04%,-0.06,14.00,18.70,RF
